Y	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48
-0,4	948,43	1,52	153,72	337,69	41,54	4,57	16943,23	221,80	80,77	272,34	0,00	1,44	0,24	2,88	1,10	0,90	0,93	0,97	1101,37	0,99	0,06	12,41	34,71	1,08	1,05	1,17	8013,49	3,46	14,52	167,93	23107,79	3413,54	8708,04	4,02	7,18	2,57	22,05	7,30	326,36	3,91	21,79	7,36	0,00	-0,05	-0,03	15,33	1,51	3,97
-0,2	947,52	1,52	153,66	325,62	41,38	4,61	17055,79	222,08	81,29	276,92	0,00	1,44	0,24	2,88	1,11	0,89	0,93	0,96	1112,69	0,99	0,06	12,40	34,71	1,09	1,07	1,16	8058,80	3,47	14,49	167,96	23227,45	3409,47	8779,07	4,06	7,18	2,54	22,20	7,33	326,15	3,99	22,29	7,53	-0,01	-0,07	-0,03	15,51	1,49	4,00
-0,12	946,07	1,56	154,17	324,82	41,43	4,59	16997,12	223,53	81,87	277,96	0,00	1,44	0,25	2,88	1,11	0,90	0,92	0,95	1110,83	0,99	0,07	12,58	34,83	1,10	1,07	1,15	8061,61	3,47	14,58	168,28	23174,57	3387,00	8781,05	3,94	6,93	2,48	21,96	7,34	330,35	3,87	21,93	7,46	-0,01	-0,08	-0,04	15,46	1,51	3,95
0	946,06	1,54	154,10	325,16	41,45	4,60	16935,42	223,53	81,16	272,86	0,00	1,44	0,24	2,88	1,11	0,91	0,93	0,96	1104,73	0,99	0,06	12,55	34,88	1,09	1,06	1,15	8024,06	3,45	14,62	168,32	23107,25	3394,46	8731,98	4,00	7,08	2,53	22,05	7,32	327,74	3,85	21,57	7,31	0,00	-0,04	-0,02	15,29	1,49	3,94
0	949,12	1,59	154,15	312,98	41,24	4,59	17069,27	224,14	82,51	278,36	0,00	1,43	0,25	2,88	1,10	0,91	0,93	0,96	1114,82	0,99	0,06	12,50	34,87	1,09	1,07	1,12	8092,65	3,45	14,63	168,22	23252,29	3392,93	8819,97	4,08	7,20	2,54	22,39	7,41	331,97	4,01	22,47	7,62	-0,01	-0,08	-0,04	15,62	1,51	3,97
0,3	948,28	1,56	153,87	325,24	41,41	4,58	17048,89	223,14	82,00	277,50	0,00	1,44	0,24	2,88	1,11	0,90	0,93	0,96	1111,77	0,99	0,06	12,46	34,78	1,10	1,06	1,14	8082,97	3,48	14,53	168,13	23226,17	3401,53	8790,64	4,03	7,14	2,53	22,20	7,37	330,45	3,95	22,12	7,48	-0,01	-0,08	-0,04	15,57	1,52	4,00
0,5	949,31	1,58	154,40	325,27	41,41	4,58	17101,06	226,64	82,64	279,71	0,00	1,43	0,25	2,88	1,11	0,91	0,91	0,95	1120,49	0,99	0,06	12,71	34,92	1,10	1,07	1,16	8122,30	3,46	14,63	168,43	23339,95	3398,07	8868,05	4,01	7,08	2,53	22,31	7,44	335,87	3,93	22,27	7,59	-0,01	-0,08	-0,04	15,68	1,52	4,00
0,7	947,75	1,57	154,26	310,23	41,26	4,60	16978,35	224,78	82,64	275,58	-0,01	1,44	0,25	2,88	1,11	0,91	0,92	0,96	1109,87	0,99	0,07	12,62	34,92	1,11	1,07	1,13	8073,19	3,47	14,61	168,27	23178,75	3374,17	8799,75	3,90	6,84	2,47	21,94	7,36	332,88	3,81	21,84	7,48	0,00	-0,07	-0,04	15,39	1,51	3,97
																																																
																																																
